"plot_id","year","month","C_nwl_A","C_nwl_W","C_nwl_E","C_nwl_N","C_fwl_A","C_fwl_W","C_fwl_E","C_fwl_N","C_cwl_A","C_cwl_W","C_cwl_E","C_cwl_N","temp_air","precip","evap","soc_obs_tCha"
"PLOT_001",2002,11,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-3.5,51.6,5,NA
"PLOT_001",2002,12,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-6.7,51.5,5,NA
"PLOT_001",2003,1,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-8.7,51.3,5,NA
"PLOT_001",2003,2,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-8.6,40,5,NA
"PLOT_001",2003,3,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-1.9,29,5,NA
"PLOT_001",2003,4,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,3.1,58.3,19.2,NA
"PLOT_001",2003,5,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,8.7,33.1,39.3,NA
"PLOT_001",2003,6,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,12.4,58.4,51.8,NA
"PLOT_001",2003,7,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,16.4,89.5,60.3,NA
"PLOT_001",2003,8,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,13.5,84.2,52.1,NA
"PLOT_001",2003,9,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,9,58.2,36.4,NA
"PLOT_001",2003,10,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,4.7,46.6,23.8,NA
"PLOT_001",2003,11,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-1.9,33,5,NA
"PLOT_001",2003,12,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-8.7,52.8,5,NA
"PLOT_001",2004,1,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-9,41.3,5,NA
"PLOT_001",2004,2,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-7,38.5,5,NA
"PLOT_001",2004,3,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-2.7,40,5,NA
"PLOT_001",2004,4,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,4.3,39,17.1,NA
"PLOT_001",2004,5,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,9.6,38.3,38.6,NA
"PLOT_001",2004,6,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,13.7,45.9,50.8,NA
"PLOT_001",2004,7,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,15,60.7,50.8,NA
"PLOT_001",2004,8,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,12.9,100.1,51.7,NA
"PLOT_001",2004,9,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,10,56.9,43.5,NA
"PLOT_001",2004,10,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,3,42.6,18.8,NA
"PLOT_001",2004,11,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-0.8,73.6,5,NA
"PLOT_001",2004,12,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-8.7,56.8,5,NA
"PLOT_001",2005,1,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-8.5,19.4,5,NA
"PLOT_001",2005,2,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-7.7,36.8,5,NA
"PLOT_001",2005,3,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-2.3,22,5,NA
"PLOT_001",2005,4,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,2.4,38.5,22.1,NA
"PLOT_001",2005,5,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,9.2,47.9,53.9,NA
"PLOT_001",2005,6,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,14.4,51.4,61.7,NA
"PLOT_001",2005,7,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,15.8,66.8,53.4,NA
"PLOT_001",2005,8,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,13.3,58.9,48.8,NA
"PLOT_001",2005,9,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,9.1,70.9,37.8,NA
"PLOT_001",2005,10,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,1.8,44.2,18.9,NA
"PLOT_001",2005,11,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-2.9,43.9,5,NA
"PLOT_001",2005,12,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-7.5,38.9,5,NA
"PLOT_001",2006,1,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,-7.4,40.4,5,NA
"PLOT_001",2006,2,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,-7.3,27.6,5,NA
"PLOT_001",2006,3,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,-2.5,22.5,5,NA
"PLOT_001",2006,4,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,3.8,51.1,21.2,NA
"PLOT_001",2006,5,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,8.1,40.7,39.1,NA
"PLOT_001",2006,6,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,15.7,57.7,56.1,NA
"PLOT_001",2006,7,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,15.8,61,61.1,NA
"PLOT_001",2006,8,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,12.3,79.8,48.5,NA
"PLOT_001",2006,9,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,9,64,42.3,NA
"PLOT_001",2006,10,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,1.3,37.8,19.7,NA
"PLOT_001",2006,11,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,-1.8,41,5.3,NA
"PLOT_001",2006,12,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,-6.2,59.7,5,NA
"PLOT_001",2007,1,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,-8.1,32.8,5,NA
"PLOT_001",2007,2,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,-6.6,37.4,5,NA
"PLOT_001",2007,3,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,-1.7,31.2,5,NA
"PLOT_001",2007,4,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,4.2,42.4,23.4,NA
"PLOT_001",2007,5,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,8,46.9,30.4,NA
"PLOT_001",2007,6,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,14.7,50.1,54.2,NA
"PLOT_001",2007,7,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,15,88.9,62.4,NA
"PLOT_001",2007,8,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,14.5,87.3,57.6,NA
"PLOT_001",2007,9,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,9,62.4,50.7,NA
"PLOT_001",2007,10,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,4.5,58.2,18.3,NA
"PLOT_001",2007,11,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,-3.5,36.9,5,NA
"PLOT_001",2007,12,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,-7.7,46.9,5,NA
"PLOT_001",2008,1,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,-8,38.1,5,NA
"PLOT_001",2008,2,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,-6.1,37.3,5,NA
"PLOT_001",2008,3,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,-2,34.6,5,NA
"PLOT_001",2008,4,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,3.2,29.5,20.5,NA
"PLOT_001",2008,5,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,9.2,53.7,40.5,NA
"PLOT_001",2008,6,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,12.7,70.3,59.7,NA
"PLOT_001",2008,7,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,14.8,91.2,57.7,NA
"PLOT_001",2008,8,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,14,68.2,52,NA
"PLOT_001",2008,9,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,9.9,66.8,31.2,NA
"PLOT_001",2008,10,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,3.4,70,16.3,NA
"PLOT_001",2008,11,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,-4.6,53.3,5,NA
"PLOT_001",2008,12,0.084985,0.015609,0.003469,0.069375,0.015082,0.001508,0.000905,0.012669,0.013573,0.000905,0.000302,0.015383,-7.4,42.4,5,NA
"PLOT_001",2009,1,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,-10,46.6,5,NA
"PLOT_001",2009,2,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,-3.9,35.6,5,NA
"PLOT_001",2009,3,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,-1.3,41.8,5,NA
"PLOT_001",2009,4,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,3.2,35.8,19.2,NA
"PLOT_001",2009,5,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,9.8,52.4,43.8,NA
"PLOT_001",2009,6,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,13.6,57.4,48.5,NA
"PLOT_001",2009,7,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,15.8,57,61.1,NA
"PLOT_001",2009,8,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,13.8,60.6,58.9,NA
"PLOT_001",2009,9,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,10,71.4,36.2,NA
"PLOT_001",2009,10,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,4.8,75.3,19.9,NA
"PLOT_001",2009,11,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,-2,48.4,5,NA
"PLOT_001",2009,12,0.088396,0.016236,0.003608,0.07216,0.015687,0.001569,0.000941,0.013177,0.014118,0.000941,0.000314,0.016001,-6.3,30.8,5,NA
"PLOT_001",2010,1,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-7.9,46.2,5,NA
"PLOT_001",2010,2,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-6.6,44.5,5,NA
"PLOT_001",2010,3,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-3.7,41.7,10.7,NA
"PLOT_001",2010,4,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,3.8,43.2,16.3,NA
"PLOT_001",2010,5,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,9.5,52.3,43,NA
"PLOT_001",2010,6,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,16.4,53,52.5,NA
"PLOT_001",2010,7,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,13,58,53.9,NA
"PLOT_001",2010,8,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,12.6,66.3,59.7,NA
"PLOT_001",2010,9,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,9.4,50.4,46.3,NA
"PLOT_001",2010,10,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,4.9,62.3,11.3,NA
"PLOT_001",2010,11,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-0.9,50.9,5,NA
"PLOT_001",2010,12,0.093917,0.01725,0.003833,0.076667,0.016667,0.001667,0.001,0.014,0.015,0.001,0.000333,0.017,-6.5,49.7,5,NA
"PLOT_001",2011,1,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-8,48.3,5,NA
"PLOT_001",2011,2,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-7.6,45.9,5,NA
"PLOT_001",2011,3,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-1.8,20.2,5,NA
"PLOT_001",2011,4,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,3.5,39.1,24.9,NA
"PLOT_001",2011,5,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,9.4,57.8,48,NA
"PLOT_001",2011,6,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,14.2,52.3,50.6,NA
"PLOT_001",2011,7,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,15,78.9,67.6,NA
"PLOT_001",2011,8,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,15.5,37.1,51.1,NA
"PLOT_001",2011,9,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,9.3,50.8,39.2,NA
"PLOT_001",2011,10,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,2.1,50.2,18,NA
"PLOT_001",2011,11,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-2.9,34.3,5.6,NA
"PLOT_001",2011,12,0.099437,0.018264,0.004059,0.081173,0.017646,0.001765,0.001059,0.014823,0.015882,0.001059,0.000353,0.017999,-7.4,29.2,5,NA
"PLOT_001",2012,1,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-10.2,25,5,NA
"PLOT_001",2012,2,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-5,48.6,5,NA
"PLOT_001",2012,3,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-2.8,46.4,5,NA
"PLOT_001",2012,4,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,2.3,47,19.6,NA
"PLOT_001",2012,5,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,10.1,39.7,39.8,NA
"PLOT_001",2012,6,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,14.7,54.9,48.1,NA
"PLOT_001",2012,7,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,17.1,69.8,53.9,NA
"PLOT_001",2012,8,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,13.2,59.3,54,NA
"PLOT_001",2012,9,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,9.5,50.5,42.6,NA
"PLOT_001",2012,10,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,3.5,53.6,22.7,NA
"PLOT_001",2012,11,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-0.5,54.7,5,NA
"PLOT_001",2012,12,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-7,30.6,5,NA
"PLOT_001",2013,1,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-6.9,50.6,5,NA
"PLOT_001",2013,2,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-7.3,32,5,NA
"PLOT_001",2013,3,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,-3.6,33.6,5,NA
"PLOT_001",2013,4,0.102849,0.018891,0.004198,0.083958,0.018252,0.001825,0.001095,0.015331,0.016427,0.001095,0.000365,0.018617,2.6,55,30.8,NA
